route_path,http_method,handler,file,line,response_schema,calculator_or_engine_calls,engine_version,status,notes
/,GET,root,backend/app/main.py,59,dict,N/A,N/A,non-calculation,Service metadata only
/health,GET,health,backend/app/main.py,71,dict,N/A,N/A,non-calculation,Health status only
/api/calendar/convert,GET,convert_date,backend/app/calendar/routes.py,84,ConversionResult,gregorian_to_bs + get_udaya_tithi (fallback calculate_tithi) + get_current_ns_year,v2_ephemeris_udaya,active,Includes tithi.method in payload
/api/calendar/convert/compare,GET,compare_convert,backend/app/calendar/routes.py,170,dict,gregorian_to_bs_official + gregorian_to_bs_estimated,dual_mode_conversion,active,Explicit official vs estimated comparison
/api/calendar/bs-to-gregorian,POST,bs_to_gregorian_convert,backend/app/calendar/routes.py,234,dict,bs_to_gregorian,conversion_core,active,Returns BS year confidence
/api/calendar/today,GET,get_today,backend/app/calendar/routes.py,256,dict,gregorian_to_bs + get_udaya_tithi (fallback calculate_tithi),v2_ephemeris_udaya,active,Official sunrise-based tithi path
/api/calendar/panchanga,GET,get_panchanga_endpoint,backend/app/calendar/routes.py,307,dict,get_panchanga + gregorian_to_bs,ephemeris_panchanga,active,Returns panchanga.confidence=astronomical
/api/calendar/panchanga/range,GET,get_panchanga_range_endpoint,backend/app/calendar/routes.py,381,dict,get_panchanga_range,ephemeris_panchanga,active,Range endpoint
/api/calendar/festivals/calculate/{festival_id},GET,calculate_festival_endpoint,backend/app/calendar/routes.py,417,dict,calculate_festival_v2 + get_festival_info_v2,v2_rules_engine,active,Direct V2 festival calculation endpoint
/api/calendar/festivals/upcoming,GET,get_upcoming_festivals_endpoint,backend/app/calendar/routes.py,456,dict,list_festivals_v2 + calculate_festival_v2,v2_rules_engine,active,Computes upcoming list via V2
/api/calendar/sankranti/{year},GET,get_sankrantis_endpoint,backend/app/calendar/routes.py,501,dict,get_sankrantis_in_year,ephemeris_solar_transit,active,Solar ingress dates
/api/festivals,GET,list_festivals,backend/app/festivals/routes.py,40,FestivalListResponse,repo.to_summary -> repo.get_dates -> calculate_festival_v2,v2_rules_engine,active,Summaries depend on V2 date generation
/api/festivals/upcoming,GET,get_upcoming,backend/app/festivals/routes.py,80,UpcomingFestivalsResponse,get_upcoming_festivals_v2,v2_rules_engine,active,No V1 call in route
/api/festivals/on-date/{target_date},GET,festivals_on_date,backend/app/festivals/routes.py,123,list[FestivalSummary],get_festivals_on_date_v2,v2_rules_engine,active,Overlap query uses V2
/api/festivals/calendar/{year}/{month},GET,get_calendar_month,backend/app/festivals/routes.py,146,FestivalCalendarResponse,get_festivals_on_date_v2 + calculate_tithi + gregorian_to_bs,v2_rules_plus_tithi,active,Month view combines festival + tithi
/api/festivals/{festival_id},GET,get_festival,backend/app/festivals/routes.py,208,FestivalDetailResponse,repo.get_dates (V2) + get_upcoming_festivals_v2,v2_rules_engine,active,Nearby festivals also V2
/api/festivals/{festival_id}/dates,GET,get_festival_dates,backend/app/festivals/routes.py,258,list[FestivalDates],repo.get_dates -> calculate_festival_v2,v2_rules_engine,active,Multi-year dates
/api/temples,GET,list_temples,backend/app/locations/routes.py,39,TempleListResponse,N/A,N/A,non-calculation,Data query only
/api/temples/{temple_id},GET,get_temple,backend/app/locations/routes.py,90,Temple,N/A,N/A,non-calculation,Data query only
/api/temples/{temple_id}/festivals,GET,get_temple_festivals,backend/app/locations/routes.py,99,TempleFestivalsResponse,N/A,N/A,non-calculation,Data query only
/api/temples/for-festival/{festival_id},GET,get_temples_for_festival,backend/app/locations/routes.py,114,dict,N/A,N/A,non-calculation,Data query only
